pl_name,host_name,sy_pnum,pl_orbper
Mercury,Sun,9,87.97
Venus,Sun,9,224.70
Earth,Sun,9,365.25
Mars,Sun,9,686.98
Jupiter,Sun,9,4332.59
Saturn,Sun,9,10759.22
Uranus,Sun,9,30688.5
Neptune,Sun,9,60182
Ceres,Sun,9,1680.0
